"Voter ID,County,Candidate"
"12864552,Marsh,Khan"
"17444633,Marsh,Correy"
"19330107,Marsh,Khan"
"19865775,Queen,Khan"
"11927875,Marsh,Khan"
"19014606,Marsh,Li"
"17775191,Queen,Correy"
"14003692,Marsh,Khan"
"14255761,Marsh,Khan"
"13870173,Marsh,Correy"
"16793141,Marsh,Khan"
"10591158,Bamoo,Correy"
"12344763,Trandee,Khan"
"18611011,Marsh,Khan"
"17845903,Marsh,Correy"
"12621425,Trandee,Khan"
"14365844,Marsh,Correy"
"13444989,Marsh,Correy"
"19204501,Trandee,Khan"
"10098063,Queen,Correy"
"19843246,Marsh,Correy"
"11509120,Marsh,Correy"
"13402499,Marsh,Correy"
"18138694,Marsh,Khan"
"15056703,Marsh,Khan"
"12026178,Queen,Khan"
"16667390,Marsh,Khan"
"12847422,Queen,Khan"
"10599242,Marsh,Khan"
"18558857,Queen,Correy"
"19533707,Queen,Correy"
"13360545,Marsh,Khan"
"13212178,Queen,Khan"
"11154929,Marsh,Khan"
"19602413,Marsh,Khan"
"15405592,Marsh,Khan"
"19561790,Marsh,Khan"
"17094559,Marsh,Li"
"18233965,Marsh,Li"
"19984144,Marsh,Khan"
"16973343,Trandee,Khan"
"17295190,Marsh,Khan"
"18554319,Marsh,Khan"
"15611748,Raffah,Khan"
"12354752,Marsh,Khan"
"19600774,Marsh,Khan"
"18121503,Bamoo,O'Tooley"
"16911714,Marsh,Khan"
"14187424,Marsh,Khan"
"12753806,Marsh,Khan"
"12558332,Marsh,Khan"
"12135098,Marsh,Khan"
"10985784,Queen,Khan"
"16471243,Marsh,Li"
"14671650,Bamoo,Li"
"18678460,Marsh,Li"
"19697964,Bamoo,Khan"
"13317391,Marsh,Khan"
"10546494,Marsh,Correy"
"17187093,Marsh,Khan"
"16592767,Marsh,Khan"
"10495056,Queen,Khan"
"18469894,Marsh,Khan"
"16986900,Queen,Correy"
"10354536,Marsh,Khan"
"15503560,Queen,Khan"
"12455481,Marsh,Khan"
"19288647,Queen,O'Tooley"
"14628255,Marsh,Li"
"12204953,Marsh,Khan"
"11898633,Bamoo,Correy"
"15507376,Queen,Khan"
"15568341,Marsh,Khan"
"11893229,Queen,Khan"
"11959936,Marsh,Khan"
"13983895,Marsh,Khan"
"10681107,Marsh,Correy"
"13159206,Marsh,Khan"
"17526080,Marsh,Khan"
"18778133,Queen,Khan"
"18908438,Marsh,Li"
"19043853,Marsh,Khan"
"16923106,Marsh,Khan"
"15687359,Marsh,Khan"
"12873603,Queen,Khan"
"14208674,Bamoo,Khan"
"15327117,Marsh,Khan"
"17286320,Marsh,Khan"
"12522584,Marsh,Khan"
"19231755,Queen,Khan"
"13073690,Marsh,Khan"
"13457436,Trandee,Khan"
"19973957,Queen,Khan"
"10315605,Trandee,Khan"
"12936845,Marsh,Correy"
"18052904,Bamoo,Khan"
"15563039,Marsh,Khan"
"10146708,Marsh,Khan"
"15152016,Marsh,Khan"
"15235971,Marsh,Khan"
"17631127,Marsh,Khan"
"11012216,Queen,Li"
"10687887,Marsh,Khan"
"11555429,Marsh,Khan"
"17333717,Marsh,Li"
"18087110,Marsh,Correy"
"12373068,Marsh,Khan"
"11332203,Queen,Correy"
"18959391,Queen,Khan"
"10928071,Marsh,Li"
"14594455,Marsh,Khan"
"19070201,Marsh,Khan"
"14384849,Marsh,Khan"
"19613019,Marsh,Khan"
"19917014,Marsh,Khan"
"15174536,Queen,Correy"
"10685996,Marsh,Correy"
"10194903,Marsh,Khan"
"15430548,Queen,Khan"
"16498078,Marsh,Khan"
"18245450,Marsh,Khan"
"16256895,Marsh,Correy"
"17629989,Marsh,Khan"
"12646555,Marsh,Correy"
"18482309,Trandee,Khan"
"13167245,Queen,Khan"
"16206129,Marsh,Khan"
"16117205,Marsh,Khan"
"10988917,Queen,Khan"
"14704548,Queen,Khan"
"17601677,Bamoo,Khan"
"15486579,Marsh,Khan"
"18495978,Marsh,Correy"
"17834864,Marsh,Khan"
"15363702,Marsh,Khan"
"17558406,Marsh,Correy"
"17050987,Marsh,Khan"
"10156191,Marsh,Khan"
"11990779,Marsh,Khan"
"14524191,Marsh,Khan"
"16639341,Marsh,Correy"
"18298755,Queen,Khan"
"19758369,Queen,Correy"
"19392797,Queen,Khan"
"13276997,Marsh,Khan"
"16435563,Marsh,Correy"
"17400011,Marsh,Khan"
"19427653,Marsh,Khan"
"18943426,Marsh,Khan"
"12000466,Bamoo,Li"
"11295263,Marsh,Correy"
"16746898,Marsh,Khan"
"15966636,Marsh,Khan"
"15118362,Marsh,Khan"
"15872797,Bamoo,Li"
"14518825,Marsh,Khan"
"19839716,Marsh,Khan"
"16672147,Bamoo,O'Tooley"
"16124460,Marsh,Khan"
"15502644,Marsh,Li"
"10858409,Marsh,Khan"
"17248475,Marsh,Khan"
"18882298,Queen,Khan"
"18320834,Marsh,Li"
"15838622,Marsh,Correy"
"17706596,Marsh,Khan"
"11549801,Marsh,Li"
"10759070,Queen,Khan"
"10482609,Raffah,Khan"
"13276638,Bamoo,Correy"
"13728070,Marsh,Khan"
"19229195,Queen,Khan"
"11063812,Queen,Li"
"13518182,Marsh,Correy"
"14969961,Marsh,Correy"
"15365084,Queen,Correy"
"15898970,Marsh,Correy"
"16962401,Queen,Khan"
"19900365,Marsh,Khan"
"11370360,Raffah,Li"
"19003962,Bamoo,Khan"
"10699676,Marsh,Li"
"17797089,Queen,Khan"
"12063159,Marsh,Khan"
"13174545,Queen,Khan"
"19015260,Queen,Khan"
"11557251,Trandee,Khan"
"16432362,Queen,Khan"
"12323740,Queen,Khan"
"12415636,Marsh,Li"
"14877742,Queen,Khan"
"10854862,Marsh,Correy"
"15380105,Queen,Khan"
"18196072,Marsh,Khan"
"12245331,Marsh,Khan"
"16717985,Bamoo,Correy"
"15050784,Queen,Khan"
"13370357,Queen,Khan"
"16741235,Queen,Khan"
"10973853,Marsh,Li"
"12290835,Marsh,Khan"
"13220018,Marsh,Li"
"15364710,Marsh,Li"
"17190051,Raffah,Correy"
"13153220,Marsh,Correy"
"15781572,Bamoo,Li"
"16872631,Marsh,Li"
"11697401,Marsh,Khan"
"11319843,Marsh,Correy"
"13640798,Marsh,Khan"
"18246891,Raffah,Khan"
"16601877,Queen,Khan"
"12263216,Raffah,Khan"
"12743147,Marsh,Khan"
"19658217,Bamoo,Khan"
"11031357,Marsh,Correy"
"18831515,Marsh,Khan"
"11992924,Marsh,Correy"
"16268716,Marsh,Khan"
"10890839,Marsh,Correy"
"16132539,Queen,Li"
"16292736,Marsh,Correy"
"18943340,Bamoo,Khan"
"16546436,Marsh,Li"
"19679245,Marsh,Khan"
"17011253,Queen,Khan"
"13038414,Bamoo,Correy"
"11212334,Marsh,Khan"
"16071649,Marsh,Khan"
"14118076,Marsh,Li"
"16859069,Marsh,Khan"
"17641181,Marsh,Li"
"19464179,Trandee,Khan"
"18972334,Marsh,Correy"
"19907074,Queen,Khan"
"18013230,Marsh,Khan"
"11854082,Raffah,Khan"
"18908035,Marsh,Khan"
"18404019,Queen,Correy"
"19759637,Marsh,Correy"
